Breed,Primary Specialty,Strength,Group,Trainability,Energy Level,Temperament
Bloodhound,Scent Tracking,Unmatched scenting ability; can track trails days old. ,Scent,60%,70%,"Friendly, Independent, inquisitive"
German Shepherd,Urban Disaster/Tracking,"Versatility, reliability, and high stamina. ",Urban,100%,90%,"Confident, Courageous, Smart"
Labrador Retriever,All-purpose/Detection,"Adaptability, friendly temperament, and water recovery. ",All,100%,90%,"Friendly, Active, Outgoing"
Border Collie,Wilderness/Agility,"Intelligence, speed, and endurance in rugged terrain. ",Wilderness,100%,100%,"Affectionate, Smart, Energetic"
Belgian Malinois,Urban Disaster/Tracking,"High intensity, speed, and agility in tight spaces. ",Urban,100%,100%,"Confident, Smart, Hardworking"
Newfoundland,Water Rescue,"Powerful swimming, webbed paws, and strength to pull victims. ",Water,80%,60%,"Sweet, Patient, Devoted"
Saint Bernard,Avalanche/Cold Weather,Cold weather tolerance and strength for snow burial. ,Avalanche,70%,50%,"Playful, Charming, Inquisitive"
Golden Retriever,All-purpose/Avalanche,Gentle temperament and strong tracking instincts. ,All,100%,80%,"Friendly, Intelligen, Devoted"
Basset Hound,Tracking,Low-to-ground scent detection for small animals or lost persons. ,Tracking,50%,40%,"Charming, Low-key, Devoted"
Coonhound,Long-distance Tracking,High endurance for covering large distances. ,Long,60%,80%,"Tolerant, Easygoing, Adaptable"
Beagle,Tracking,Strong drive and focus on scent trails. ,Tracking,60%,70%,"Amiable, Determined, Excitable"
Doberman Pinscher,Urban/Wilderness,"Speed, agility, and loyalty for time-sensitive missions. ",Urban,90%,90%,"Loyal, Fearless, Alert"
Australian Shepherd,Wilderness/Agility,"Energy, trainability, and adaptability to challenging terrains. ",Wilderness,90%,90%,"Smart, Work-oriented, Exuberant"

